doc_id,doc_url,doc_url_serverless,previous_version_doc_url,description
cluster-reroute,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cluster-reroute,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cluster-reroute.html,More about rerouting the cluster
cluster-state,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cluster-state,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cluster-state.html,Learn more about cluster state
cluster-stats,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cluster-stats,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cluster-stats.html,More about cluster statistics
cluster-update-settings,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cluster-put-settings,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cluster-update-settings.html,About updating the cluster
cluster,https://www.elastic.co/docs/api/doc/elasticsearch/group/endpoint-cluster,[use-doc-url],https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cluster.html,Learn more about clusters
cohere-api-keys,https://dashboard.cohere.com/api-keys,[use-doc-url],,More about Cohere API keys
cohere-models,https://docs.cohere.com/docs/models#command,[use-doc-url],,Learn more about Cohere models
common-options,https://www.elastic.co/docs/reference/elasticsearch/rest-apis/common-options,[use-doc-url],,About Elasticsearch API common
community-id-processor,https://www.elastic.co/docs/reference/enrich-processor/community-id-processor,[use-doc-url],,More about community id processor
connector-sync-job-cancel,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-connector-sync-job-cancel,https://www.elastic.co/docs/api/doc/elasticsearch-serverless/operation/operation-connector-sync-job-cancel,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cancel-connector-sync-job-api.html,About canceling a connector sync
connector-sync-job-checkin,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-connector-sync-job-check-in,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/check-in-connector-sync-job-api.html,About checking in a connector
connector-sync-job-claim,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-connector-sync-job-claim,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/claim-connector-sync-job-api.html,About claiming a connector sync
connector-sync-job-error,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-connector-sync-job-error,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/set-connector-sync-job-error-api.html,About setting a connector sync
collapse-search-results,https://www.elastic.co/docs/reference/elasticsearch/rest-apis/collapse-search-results,[use-doc-url],,About collapsing search results
connector-sync-job-delete,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-connector-sync-job-delete,https://www.elastic.co/docs/api/doc/elasticsearch-serverless/operation/operation-connector-sync-job-delete,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/delete-connector-sync-job-api.html,About deleting a connector sync
connector-sync-job-get,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-connector-sync-job-get,https://www.elastic.co/docs/api/doc/elasticsearch-serverless/operation/operation-connector-sync-job-get,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/get-connector-sync-job-api.html,More about connector sync jobs
connector-sync-job-post,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-connector-sync-job-post,https://www.elastic.co/docs/api/doc/elasticsearch-serverless/operation/operation-connector-sync-job-post,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/create-connector-sync-job-api.html,About creating a connector sync
connector-sync-job-list,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-connector-sync-job-list,https://www.elastic.co/docs/api/doc/elasticsearch-serverless/operation/operation-connector-sync-job-list,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/list-connector-sync-jobs-api.html,More about connector sync jobs
connector-sync-job-stats,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-connector-sync-job-update-stats,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/set-connector-sync-job-stats-api.html,About setting the connector sync
connector-checkin,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-connector-check-in,https://www.elastic.co/docs/api/doc/elasticsearch-serverless/operation/operation-connector-check-in,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/check-in-connector-api.html,About checking in a connector
connector-delete,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-connector-delete,https://www.elastic.co/docs/api/doc/elasticsearch-serverless/operation/operation-connector-delete,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/delete-connector-api.html,More about deleting a connector
connector-features,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-connector-update-features,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/update-connector-features-api.html,About updating the connector
connector-get,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-connector-get,https://www.elastic.co/docs/api/doc/elasticsearch-serverless/operation/operation-connector-get,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/get-connector-api.html,More about getting a connector
connector-last-sync,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-connector-last-sync,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/update-connector-last-sync-api.html,Learn more about last sync
connector-list,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-connector-list,https://www.elastic.co/docs/api/doc/elasticsearch-serverless/operation/operation-connector-list,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/list-connector-api.html,More about getting all connectors
connector-post,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-connector-put,https://www.elastic.co/docs/api/doc/elasticsearch-serverless/operation/operation-connector-put,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/create-connector-api.html,More about managing a connector
connector-put,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-connector-put,https://www.elastic.co/docs/api/doc/elasticsearch-serverless/operation/operation-connector-put,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/create-connector-api.html,More about managing a connector
connector-configuration,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-connector-update-configuration,https://www.elastic.co/docs/api/doc/elasticsearch-serverless/operation/operation-connector-update-configuration,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/update-connector-configuration-api.html,About updating the connector
